Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
431440 PELOTAS,-,-,-,2,2,4,19,8,2,1,1,-,39
431442 PICADA CAFE,-,-,1,1,-,-,1,-,-,-,-,-,3
431445 PINHAL,-,-,-,-,-,-,-,-,1,-,-,-,1
431449 PINHEIRINHO DO VALE,-,-,-,2,1,2,13,8,1,1,1,-,29
431454 PINTO BANDEIRA,-,-,-,-,-,-,1,2,-,-,-,-,3
431470 PLANALTO,-,-,-,-,-,-,2,2,-,-,-,-,4
431475 POCO DAS ANTAS,-,-,-,-,-,-,2,-,-,-,-,-,2
431477 PONTAO,-,-,-,1,-,-,-,-,-,-,-,-,1
431478 PONTE PRETA,-,-,-,-,-,-,1,-,-,-,-,-,1
431480 PORTAO,-,-,1,2,1,1,18,8,2,-,-,1,34
431490 PORTO ALEGRE,-,19,95,342,520,526,2403,1645,292,204,223,62,6331
431500 PORTO LUCENA,-,-,-,-,-,-,1,-,-,-,-,-,1
431505 PORTO MAUA,-,-,-,-,-,-,1,-,-,-,-,-,1
431510 PORTO XAVIER,-,-,-,-,-,-,-,3,2,-,1,-,6
431513 POUSO NOVO,-,-,-,-,-,-,-,1,-,-,-,-,1
431514 PRESIDENTE LUCENA,-,-,-,1,1,3,8,8,1,-,-,-,22
431515 PROGRESSO,-,-,-,-,-,-,2,-,-,-,-,-,2
431520 PUTINGA,-,-,1,1,-,1,3,1,1,1,2,-,11
431530 QUARAI,-,-,-,-,-,-,1,-,-,-,-,-,1
431531 QUATRO IRMAOS,-,-,-,-,-,1,-,-,-,-,-,-,1
431532 QUEVEDOS,-,-,-,-,-,1,4,1,-,-,-,-,6
431535 QUINZE DE NOVEMBRO,-,-,-,-,2,-,6,4,2,1,1,2,18
431540 REDENTORA,-,-,-,-,-,-,-,2,-,1,-,-,3
431545 RELVADO,-,-,-,-,-,-,1,1,-,-,-,-,2
431550 RESTINGA SECA,-,-,1,-,1,1,2,4,-,1,-,-,10
431555 RIO DOS INDIOS,-,-,-,-,-,-,-,1,-,-,-,-,1
431560 RIO GRANDE,-,-,-,1,-,-,5,5,2,4,1,-,18
431570 RIO PARDO,-,-,-,-,-,-,4,1,-,1,-,2,8
431580 ROCA SALES,-,3,1,6,10,15,74,52,13,8,21,5,208
431590 RODEIO BONITO,-,-,-,-,-,-,1,-,-,-,-,-,1
431595 ROLADOR,-,-,-,-,1,-,-,2,-,-,-,-,3
431600 ROLANTE,-,-,-,-,-,-,6,3,1,2,-,-,12
431610 RONDA ALTA,-,1,-,-,-,-,-,1,-,-,-,-,2
431620 RONDINHA,-,-,-,-,1,1,5,8,1,1,1,2,20
431630 ROQUE GONZALES,-,-,-,1,-,-,2,4,2,-,-,1,10
431640 ROSARIO DO SUL,-,-,1,-,1,1,-,2,-,-,-,-,5
431642 SAGRADA FAMILIA,-,-,-,-,-,-,5,3,1,-,-,-,9
431647 SALVADOR DAS MISSOES,-,-,-,-,-,-,-,2,-,-,-,-,2
431660 SANANDUVA,-,-,4,5,14,6,80,78,40,17,26,10,280
431670 SANTA BARBARA DO SUL,-,-,-,-,-,-,1,-,-,-,-,-,1
431673 SANTA CECILIA DO SUL,-,-,-,-,-,-,-,1,-,-,-,-,1
431675 SANTA CLARA DO SUL,-,-,-,1,1,-,1,4,-,-,-,-,7
431680 SANTA CRUZ DO SUL,-,-,2,3,7,8,53,22,3,2,6,3,109
431690 SANTA MARIA,1,73,239,561,657,647,2998,2065,405,298,357,145,8446
431697 SANTA MARGARIDA DO SUL,-,-,1,-,-,2,-,-,-,-,-,-,3
431700 SANTANA DA BOA VISTA,-,-,-,-,-,-,1,-,-,-,-,-,1
431710 SANT'ANA DO LIVRAMENTO,-,-,-,-,-,-,1,1,1,-,-,-,3
431720 SANTA ROSA,-,1,2,8,17,15,94,97,22,9,14,5,284
431740 SANTIAGO,-,-,-,2,1,-,7,4,1,2,4,-,21
431750 SANTO ANGELO,-,-,1,4,3,7,16,21,3,4,1,1,61
431760 SANTO ANTONIO DA PATRULHA,-,-,-,-,-,1,2,-,-,-,-,-,3
431770 SANTO ANTONIO DAS MISSOES,-,-,-,1,-,-,2,-,-,-,-,-,3
431780 SANTO AUGUSTO,-,-,-,-,-,1,3,8,1,1,2,-,16
431790 SANTO CRISTO,-,-,1,-,-,1,1,1,-,-,-,-,4
431800 SAO BORJA,-,-,-,1,2,5,4,5,2,-,-,-,19
431805 SAO DOMINGOS DO SUL,-,-,-,-,-,-,-,1,-,-,-,-,1
431810 SAO FRANCISCO DE ASSIS,-,-,-,-,-,1,12,8,3,2,1,1,28
431830 SAO GABRIEL,-,-,-,-,-,1,5,4,1,1,-,-,12
431840 SAO JERONIMO,-,-,-,-,-,-,-,2,-,-,1,-,3
431842 SAO JOAO DA URTIGA,-,-,-,1,2,-,3,1,1,-,-,-,8
431843 SAO JOAO DO POLESINE,-,-,-,-,-,-,1,-,-,-,1,-,2
431846 SAO JOSE DO HERVAL,-,-,-,-,-,-,-,-,1,-,-,-,1
431848 SAO JOSE DO HORTENCIO,-,-,-,-,-,1,3,5,2,2,-,-,13
431849 SAO JOSE DO INHACORA,-,-,-,-,1,-,2,-,-,-,-,-,3
431870 SAO LEOPOLDO,-,5,4,7,8,5,50,26,8,2,-,1,116
431880 SAO LOURENCO DO SUL,-,-,-,-,-,-,-,1,-,-,-,-,1
431890 SAO LUIZ GONZAGA,-,-,-,1,1,3,9,15,3,2,1,1,36
431910 SAO MARTINHO,-,-,-,-,-,-,2,1,-,-,-,-,3
431912 SAO MARTINHO DA SERRA,-,-,-,-,-,-,3,-,-,-,-,-,3
431915 SAO MIGUEL DAS MISSOES,-,-,-,-,-,-,1,3,1,-,-,1,6
431930 SAO PAULO DAS MISSOES,-,-,-,-,-,-,1,-,1,-,-,-,2
431935 SAO PEDRO DA SERRA,-,-,-,1,-,-,-,-,-,-,-,-,1
431937 SAO PEDRO DO BUTIA,-,-,-,-,1,-,2,2,1,3,-,-,9
431940 SAO PEDRO DO SUL,-,-,1,1,4,3,22,18,2,4,2,-,57
431950 SAO SEBASTIAO DO CAI,-,-,-,-,1,-,4,3,-,-,-,-,8
431960 SAO SEPE,-,1,1,2,-,4,9,10,7,3,3,2,42
431970 SAO VALENTIM,-,-,-,-,-,-,1,-,-,-,-,-,1
431971 SAO VALENTIM DO SUL,-,-,-,-,1,-,3,-,1,3,5,1,14
431973 SAO VALERIO DO SUL,-,-,-,-,-,-,1,-,-,-,-,-,1
431980 SAO VICENTE DO SUL,-,-,-,2,1,-,4,4,-,2,1,-,14
431990 SAPIRANGA,-,1,-,1,2,3,13,17,3,-,3,3,46
432000 SAPUCAIA DO SUL,-,3,5,24,33,35,226,127,18,13,9,2,495
432010 SARANDI,-,-,-,-,1,-,6,6,-,1,-,-,14
432020 SEBERI,-,-,-,-,-,2,1,1,1,-,-,-,5
432023 SEDE NOVA,-,-,-,-,-,-,1,1,2,-,-,-,4
432030 SELBACH,-,-,3,7,8,7,26,19,5,5,7,4,91
432040 SERAFINA CORREA,-,-,1,-,-,-,1,2,-,-,-,-,4
432045 SERIO,-,-,-,-,-,-,1,1,-,-,-,-,2
432050 SERTAO,-,-,-,2,-,-,-,-,-,-,-,-,2
432060 SEVERIANO DE ALMEIDA,-,-,-,-,-,-,-,1,-,1,-,-,2
432065 SILVEIRA MARTINS,-,-,-,-,-,-,4,2,1,-,-,-,7
432067 SINIMBU,-,-,-,-,-,3,7,13,2,3,4,1,33
432070 SOBRADINHO,-,-,-,-,-,-,1,2,-,-,1,-,4
432080 SOLEDADE,-,1,1,-,-,1,5,-,-,-,-,-,8
432090 TAPEJARA,-,-,1,5,5,1,31,21,2,3,6,1,76
432100 TAPERA,-,-,1,-,5,4,13,14,2,2,-,-,41
432110 TAPES,-,-,1,-,-,1,-,1,-,-,-,-,3
432120 TAQUARA,-,-,1,1,3,-,7,2,-,-,-,-,14
432130 TAQUARI,-,-,-,1,-,-,4,1,-,-,-,-,6
432132 TAQUARUCU DO SUL,-,-,-,-,-,1,1,-,-,-,-,-,2
432140 TENENTE PORTELA,-,-,-,6,1,3,15,6,2,-,2,2,37
432145 TEUTONIA,-,2,2,2,3,2,18,15,4,3,3,-,54
432146 TIO HUGO,-,-,1,2,1,-,2,-,1,-,-,-,7
432147 TIRADENTES DO SUL,-,-,-,-,-,-,-,1,-,1,-,-,2
432149 TOROPI,-,-,-,-,-,2,2,3,2,-,-,-,9
432150 TORRES,-,-,-,-,2,1,4,7,1,1,1,-,17
432160 TRAMANDAI,-,-,-,2,-,1,4,2,2,2,-,1,14
432162 TRAVESSEIRO,-,-,-,-,-,-,-,2,-,-,1,-,3
432163 TRES ARROIOS,-,-,-,-,-,-,1,-,-,-,-,-,1
432170 TRES COROAS,-,-,2,1,-,2,3,7,1,1,-,-,17
432180 TRES DE MAIO,-,2,-,7,14,8,61,75,16,6,15,4,208
432190 TRES PASSOS,-,-,-,1,1,3,15,13,9,4,1,-,47
432200 TRIUNFO,-,-,-,2,-,-,2,3,-,-,-,1,8
432210 TUCUNDUVA,-,-,-,1,4,1,8,14,3,2,3,3,39
432215 TUNAS,-,-,-,-,-,-,-,2,-,-,-,-,2
432220 TUPANCIRETA,-,-,-,-,-,1,4,4,2,-,-,-,11
432225 TUPANDI,-,-,-,-,-,-,-,-,1,-,-,-,1
432230 TUPARENDI,-,-,-,1,-,-,2,1,-,-,-,-,4
432232 TURUCU,-,-,-,-,-,-,1,-,-,-,-,-,1
432237 UNISTALDA,-,-,-,-,-,-,-,-,-,1,-,-,1
432240 URUGUAIANA,-,-,1,-,-,-,17,14,3,1,1,-,37
432250 VACARIA,-,-,-,-,-,1,2,1,-,-,-,-,4
432253 VALE DO SOL,-,-,-,-,-,-,-,1,-,-,-,-,1
432255 VANINI,-,-,-,-,-,-,1,1,-,-,-,-,2
432260 VENANCIO AIRES,-,-,-,4,11,6,47,41,10,11,10,3,143
432270 VERA CRUZ,-,-,-,-,-,1,1,2,-,1,-,-,5
432280 VERANOPOLIS,-,-,-,1,-,-,1,3,-,-,-,-,5
432285 VESPASIANO CORREA,-,-,-,-,-,-,3,3,-,-,1,-,7
432290 VIADUTOS,-,-,-,-,-,-,1,-,-,-,-,-,1
432300 VIAMAO,-,2,1,9,14,19,107,57,6,5,8,3,231
432310 VICENTE DUTRA,-,-,-,1,-,-,-,2,-,-,2,-,5
432320 VICTOR GRAEFF,-,-,-,1,-,1,4,4,2,-,-,-,12
432340 VILA MARIA,-,-,-,-,-,1,2,3,1,-,-,-,7
432345 VILA NOVA DO SUL,-,-,-,-,-,-,1,1,-,-,-,-,2
432350 VISTA ALEGRE,-,-,-,-,-,-,1,-,-,-,-,-,1
432370 VISTA GAUCHA,-,-,-,-,-,-,1,6,-,-,1,1,9
432375 VITORIA DAS MISSOES,-,-,-,-,-,-,1,-,-,-,-,-,1
432377 WESTFALIA,-,-,-,-,-,-,1,-,-,-,-,-,1
432380 XANGRI-LA,-,-,-,-,-,-,1,-,1,-,-,-,2
500020 AGUA CLARA,-,-,9,34,20,11,73,65,9,8,4,1,234
500025 ALCINOPOLIS,-,1,5,18,29,37,148,126,17,16,10,7,414
500060 AMAMBAI,-,-,6,7,12,17,48,33,6,3,4,2,138
500070 ANASTACIO,-,6,6,14,41,27,64,42,7,8,8,1,224
500080 ANAURILANDIA,-,1,11,34,37,45,145,170,30,16,19,4,512
500085 ANGELICA,-,-,1,5,13,12,31,29,3,5,2,1,102
500090 ANTONIO JOAO,2,3,17,37,49,46,147,98,13,17,18,5,452
500100 APARECIDA DO TABOADO,-,1,-,-,3,4,9,7,2,1,2,1,30
500110 AQUIDAUANA,-,4,9,18,31,30,73,62,13,5,12,2,259
500124 ARAL MOREIRA,-,3,1,11,18,18,43,23,5,1,3,2,128
500150 BANDEIRANTES,-,1,3,3,7,-,22,9,2,1,5,-,53
500190 BATAGUASSU,-,4,8,30,50,44,152,102,15,18,15,7,445
500200 BATAYPORA,-,4,20,49,45,59,158,130,17,18,15,4,519
500210 BELA VISTA,1,1,10,51,104,92,314,290,58,37,43,15,1016
500215 BODOQUENA,-,2,14,34,42,41,182,110,10,9,7,3,454
500220 BONITO,1,5,22,35,45,42,153,123,18,13,16,3,476
500230 BRASILANDIA,-,6,5,16,37,31,117,71,18,15,18,2,336
500240 CAARAPO,1,6,27,69,81,128,343,283,34,24,22,5,1023
500260 CAMAPUA,-,1,2,8,13,7,41,36,4,5,2,2,121
500270 CAMPO GRANDE,-,140,408,999,1181,1171,4689,2601,358,233,211,83,12074
500280 CARACOL,-,1,4,8,12,18,40,41,4,4,2,2,136
500290 CASSILANDIA,-,9,18,40,45,55,158,144,25,20,16,7,537
500295 CHAPADAO DO SUL,-,3,6,13,18,20,86,70,9,10,4,1,240
500310 CORGUINHO,-,-,1,2,2,1,6,4,-,-,1,-,17
500315 CORONEL SAPUCAIA,-,5,27,57,54,52,168,82,14,12,12,2,485
500320 CORUMBA,-,22,83,210,251,337,905,426,58,31,28,5,2356
500325 COSTA RICA,-,2,13,11,18,41,142,93,11,10,9,4,354
500330 COXIM,-,-,6,14,37,42,110,83,14,9,16,10,341
500345 DEODAPOLIS,-,5,7,31,29,19,70,57,8,5,2,1,234
500348 DOIS IRMAOS DO BURITI,-,2,5,5,7,7,10,11,2,2,4,2,57
500350 DOURADINA,-,1,1,5,6,6,24,19,4,11,7,1,85
500370 DOURADOS,-,11,43,109,118,126,474,410,81,54,68,16,1510
500375 ELDORADO,-,5,2,13,15,16,71,59,10,2,10,1,204
500380 FATIMA DO SUL,-,1,1,9,16,17,25,42,17,8,11,1,148
500390 FIGUEIRAO,-,-,1,8,6,11,31,22,6,8,4,4,101
500400 GLORIA DE DOURADOS,-,-,3,8,5,10,43,15,7,4,3,-,98
500410 GUIA LOPES DA LAGUNA,-,4,3,17,19,16,50,38,10,4,7,3,171
500430 IGUATEMI,-,1,1,3,6,4,20,21,7,-,4,1,68
500440 INOCENCIA,-,4,4,3,4,7,43,30,8,3,4,1,111
500450 ITAPORA,-,1,18,43,54,70,282,272,56,50,56,28,930
500460 ITAQUIRAI,-,7,28,34,32,37,168,157,20,10,26,3,522
500470 IVINHEMA,-,6,16,37,94,107,376,393,74,46,74,19,1242
500480 JAPORA,-,2,7,6,7,9,41,29,4,6,6,-,117
500490 JARAGUARI,2,10,33,64,51,30,87,75,8,6,13,4,383
500500 JARDIM,-,5,17,50,64,44,145,121,20,14,23,6,509
500510 JATEI,-,2,2,6,3,4,23,20,3,1,1,-,65
500515 JUTI,-,3,14,26,44,31,150,126,18,21,20,13,466
500520 LADARIO,-,4,8,51,55,47,162,66,13,8,7,1,422
500525 LAGUNA CARAPA,-,3,8,23,31,28,149,95,17,10,10,8,382
500540 MARACAJU,-,14,93,163,145,120,425,305,40,26,35,11,1377
500560 MIRANDA,-,-,12,18,28,26,73,47,9,4,2,3,222
500568 MUNDO NOVO,-,2,8,19,35,42,116,90,22,12,6,2,354
500570 NAVIRAI,-,2,24,71,147,168,603,547,91,56,84,20,1813
500580 NIOAQUE,-,-,1,4,5,4,28,24,6,4,3,2,81
500600 NOVA ALVORADA DO SUL,1,14,13,19,18,26,77,50,6,4,7,1,236
500620 NOVA ANDRADINA,-,4,5,10,22,19,53,56,13,3,9,3,197
500625 NOVO HORIZONTE DO SUL,-,3,-,6,18,19,47,62,20,9,9,1,194
500627 PARAISO DAS AGUAS,-,1,-,6,7,1,15,15,1,5,3,-,54
500630 PARANAIBA,-,1,6,7,8,3,26,18,2,3,5,-,79
500635 PARANHOS,-,1,1,3,2,7,19,17,2,1,1,1,55
500640 PEDRO GOMES,-,-,8,14,26,21,50,41,5,6,6,-,177
500660 PONTA PORA,1,26,41,93,139,165,502,353,61,62,59,17,1519
500690 PORTO MURTINHO,-,1,1,6,6,11,17,20,2,4,3,-,71
500710 RIBAS DO RIO PARDO,1,1,2,3,10,5,24,22,3,-,2,1,74
500720 RIO BRILHANTE,-,3,6,17,28,17,79,54,12,4,8,4,232
500730 RIO NEGRO,-,-,1,1,7,4,19,9,1,1,-,-,43
500740 RIO VERDE DE MATO GROSSO,-,2,3,20,24,16,52,39,5,11,2,-,174
500750 ROCHEDO,-,-,3,4,7,4,28,20,3,-,4,-,73
500755 SANTA RITA DO PARDO,-,-,1,6,7,5,21,24,1,2,2,1,70
500769 SAO GABRIEL DO OESTE,-,5,13,35,37,56,231,82,14,7,6,1,487
500770 SETE QUEDAS,-,2,2,5,11,8,42,41,11,11,10,2,145
500780 SELVIRIA,-,5,3,11,10,18,41,32,4,4,3,2,133
500790 SIDROLANDIA,-,9,34,81,89,77,285,164,18,20,14,5,796
500793 SONORA,-,3,11,24,26,25,106,101,15,7,11,2,331
500795 TACURU,-,-,-,-,1,3,1,7,-,-,-,-,12
500797 TAQUARUSSU,-,1,-,3,3,2,16,23,5,2,2,-,57
500800 TERENOS,-,-,1,4,4,5,6,10,3,1,-,-,34
500830 TRES LAGOAS,-,13,96,301,429,483,1799,1137,178,100,82,24,4642
500840 VICENTINA,-,-,2,12,17,18,51,73,11,8,7,3,202
510010 ACORIZAL,-,-,6,7,6,4,12,10,3,1,3,-,52
510020 AGUA BOA,-,9,26,34,36,32,111,62,8,10,6,2,336
510025 ALTA FLORESTA,1,21,39,78,53,52,172,113,16,11,12,7,575
510030 ALTO ARAGUAIA,-,1,1,2,2,2,11,12,1,1,3,4,40
510035 ALTO BOA VISTA,-,-,2,-,1,2,3,1,-,-,-,-,9
510040 ALTO GARCAS,-,-,5,11,1,6,25,16,1,3,2,1,71
510050 ALTO PARAGUAI,-,-,-,-,-,-,3,4,1,-,-,1,9
510060 ALTO TAQUARI,-,-,2,3,3,4,9,12,2,-,-,-,35
510080 APIACAS,-,-,2,2,2,5,19,20,3,3,-,-,56
510100 ARAGUAIANA,-,-,3,2,7,8,25,18,2,1,-,1,67
510120 ARAGUAINHA,-,-,1,3,3,1,6,8,3,-,1,-,26
510125 ARAPUTANGA,-,4,30,20,25,15,58,47,5,2,10,9,225
510130 ARENAPOLIS,-,1,2,1,-,1,3,2,1,-,-,1,12
510140 ARIPUANA,-,4,6,9,11,15,56,45,6,-,2,1,155
510160 BARAO DE MELGACO,-,-,-,-,1,-,1,1,-,-,-,-,3
510170 BARRA DO BUGRES,-,-,2,6,2,7,8,8,3,2,1,1,40
510180 BARRA DO GARCAS,-,17,28,44,46,48,157,114,11,16,21,5,507
510185 BOM JESUS DO ARAGUAIA,-,-,4,6,6,8,14,12,5,3,-,-,58
510190 BRASNORTE,-,4,10,20,12,5,30,10,3,4,1,2,101
510250 CACERES,-,18,29,55,90,50,222,126,12,11,6,6,625
510260 CAMPINAPOLIS,-,3,2,13,11,11,29,20,5,2,4,1,101
510263 CAMPO NOVO DO PARECIS,-,8,23,46,40,33,139,58,9,4,6,2,368
510267 CAMPO VERDE,-,19,43,88,88,86,271,222,24,16,24,6,887
510268 CAMPOS DE JULIO,-,11,40,47,50,36,137,78,13,7,10,3,432
510269 CANABRAVA DO NORTE,-,2,3,9,2,-,7,3,2,-,2,1,31
510270 CANARANA,-,6,21,19,13,9,39,30,3,1,1,5,147
510279 CARLINDA,-,1,2,5,3,1,3,5,1,1,-,-,22
510285 CASTANHEIRA,-,7,7,11,10,6,17,22,3,3,2,2,90
510300 CHAPADA DOS GUIMARAES,1,9,16,11,11,10,38,21,5,3,7,2,134
510305 CLAUDIA,-,1,6,6,4,5,9,8,1,2,3,1,46
510310 COCALINHO,-,-,-,1,2,2,8,8,-,1,1,-,23
510320 COLIDER,-,7,39,89,62,70,236,179,41,25,28,24,800
510325 COLNIZA,-,16,53,41,34,44,141,100,17,9,17,10,482
510330 COMODORO,-,16,45,86,73,79,216,114,16,16,17,3,681
510335 CONFRESA,-,26,45,55,40,51,155,89,16,10,8,8,503
510336 CONQUISTA D'OESTE,1,5,8,13,9,5,21,16,7,6,3,1,95
510337 COTRIGUACU,-,10,12,31,20,20,56,49,5,3,2,2,210
510340 CUIABA,-,24,92,136,154,152,451,248,35,28,40,11,1371
510343 CURVELANDIA,-,-,-,-,-,-,1,1,1,-,-,-,3
510345 DENISE,-,-,-,1,-,-,-,1,-,-,-,-,2
510350 DIAMANTINO,-,7,11,10,4,21,41,23,3,6,3,2,131
510360 DOM AQUINO,-,5,4,8,5,4,24,11,4,2,4,3,74
510370 FELIZ NATAL,-,2,8,5,8,8,30,20,-,3,1,-,85
510380 FIGUEIROPOLIS D'OESTE,-,-,2,-,2,2,2,7,3,1,-,-,19
510385 GAUCHA DO NORTE,-,7,9,16,14,24,63,33,6,5,7,5,189
510390 GENERAL CARNEIRO,-,-,4,1,4,2,8,5,-,-,-,1,25
510395 GLORIA D'OESTE,-,-,-,-,1,-,-,-,-,-,-,-,1
510410 GUARANTA DO NORTE,-,2,-,1,3,4,13,7,-,1,-,-,31
510420 GUIRATINGA,-,1,-,2,2,4,9,2,2,-,-,-,22
510450 INDIAVAI,-,1,6,4,6,9,11,17,-,2,-,1,57
510452 IPIRANGA DO NORTE,-,-,-,1,1,1,9,3,-,-,-,-,15
510454 ITANHANGA,-,-,-,1,1,1,1,3,1,-,-,-,8
510455 ITAUBA,-,-,2,8,8,8,21,23,-,2,3,-,75
510460 ITIQUIRA,-,2,14,22,25,17,46,58,9,6,10,5,214
510480 JACIARA,-,5,7,14,7,8,23,21,1,2,2,2,92
510490 JANGADA,-,3,5,7,12,6,6,11,2,1,1,-,54
510500 JAURU,-,-,1,2,1,3,8,7,1,3,2,3,31
510510 JUARA,-,2,13,21,11,18,70,52,14,8,9,11,229
510515 JUINA,-,5,28,40,37,33,119,115,21,17,16,16,447
510517 JURUENA,-,10,22,24,18,21,72,47,7,8,7,-,236
510520 JUSCIMEIRA,-,3,3,6,8,-,15,9,1,1,1,1,48
510523 LAMBARI D'OESTE,-,-,-,-,-,1,1,1,-,-,-,-,3
510525 LUCAS DO RIO VERDE,-,10,38,62,46,48,211,158,15,8,12,6,614
510530 LUCIARA,-,-,-,-,-,-,-,-,1,-,-,-,1
510550 VILA BELA DA SANTISSIMA TRINDADE,-,1,2,4,2,1,9,5,1,2,-,3,30
510558 MARCELANDIA,-,6,6,9,22,26,83,42,5,6,4,1,210
510560 MATUPA,-,1,6,4,1,1,11,9,-,1,1,-,35
510562 MIRASSOL D'OESTE,-,4,14,12,16,17,44,23,1,4,2,-,137
510590 NOBRES,-,1,3,4,8,3,12,17,-,3,4,1,56
510600 NORTELANDIA,-,-,1,4,1,2,4,1,-,-,2,2,17
510610 NOSSA SENHORA DO LIVRAMENTO,-,-,-,3,1,2,4,4,-,1,-,-,15
510615 NOVA BANDEIRANTES,-,-,4,6,6,8,24,18,1,3,4,1,75
510617 NOVA NAZARE,-,-,1,1,2,-,3,2,1,1,1,-,12
510618 NOVA LACERDA,-,2,-,3,1,2,15,5,1,3,-,-,32
510619 NOVA SANTA HELENA,-,-,-,2,3,3,13,7,2,1,-,1,32
510620 NOVA BRASILANDIA,-,-,1,3,2,7,14,7,2,1,1,-,38
510621 NOVA CANAA DO NORTE,-,6,5,11,12,8,69,51,11,6,4,3,186
510622 NOVA MUTUM,-,11,21,19,19,20,99,46,2,3,1,1,242
510623 NOVA OLIMPIA,-,1,2,2,4,1,11,8,2,1,-,-,32
510624 NOVA UBIRATA,-,4,8,12,12,19,79,28,3,2,1,-,168
510625 NOVA XAVANTINA,-,13,38,73,73,65,114,81,7,10,15,9,498
510626 NOVO MUNDO,-,-,-,2,3,3,12,5,2,2,1,-,30
510627 NOVO HORIZONTE DO NORTE,-,1,1,2,2,3,18,11,5,-,4,3,50
510628 NOVO SAO JOAQUIM,1,1,6,3,4,4,6,2,1,1,1,-,30
510629 PARANAITA,-,5,38,48,29,22,92,52,5,7,7,6,311
510630 PARANATINGA,-,24,144,122,78,54,172,106,16,16,17,18,767
510631 NOVO SANTO ANTONIO,-,-,-,-,-,1,2,1,-,-,-,-,4
510637 PEDRA PRETA,-,2,12,13,12,5,16,19,3,-,3,1,86
510642 PEIXOTO DE AZEVEDO,-,7,32,41,28,30,104,56,20,7,15,3,343
510645 PLANALTO DA SERRA,-,-,2,9,4,13,31,24,1,2,3,2,91
510650 POCONE,-,-,-,8,1,-,6,4,-,-,-,-,19
510665 PONTAL DO ARAGUAIA,-,1,1,3,4,5,21,19,2,-,4,-,60
510670 PONTE BRANCA,-,1,5,18,16,13,44,50,16,17,22,7,209
510675 PONTES E LACERDA,-,52,66,60,68,57,146,82,21,9,11,9,581
510677 PORTO ALEGRE DO NORTE,-,-,1,-,5,-,13,7,-,-,-,-,26
510680 PORTO DOS GAUCHOS,-,9,14,21,8,5,24,18,6,3,7,3,118
510682 PORTO ESPERIDIAO,-,8,19,20,18,14,35,33,8,2,5,4,166
510685 PORTO ESTRELA,-,-,-,-,1,1,6,7,1,1,1,1,19
510700 POXOREO,-,7,13,36,26,27,59,40,6,4,2,1,221
510704 PRIMAVERA DO LESTE,3,88,277,409,358,398,1652,843,107,70,77,21,4303
510706 QUERENCIA,-,4,3,4,1,7,17,9,1,1,-,-,47
510710 SAO JOSE DOS QUATRO MARCOS,-,1,1,6,12,4,7,5,-,1,1,-,38
510715 RESERVA DO CABACAL,-,-,4,6,5,10,30,17,-,1,1,2,76
510718 RIBEIRAO CASCALHEIRA,-,2,2,7,5,3,22,14,2,4,3,5,69
510719 RIBEIRAOZINHO,-,-,2,2,5,3,11,11,2,1,2,1,40
510720 RIO BRANCO,-,-,-,2,-,-,1,-,-,-,-,-,3
510724 SANTA CARMEM,-,1,1,2,1,4,11,5,4,-,-,1,30
510726 SANTO AFONSO,-,-,-,-,-,2,1,2,-,-,-,-,5
510729 SAO JOSE DO POVO,-,-,1,-,10,9,25,36,4,1,4,1,91
510730 SAO JOSE DO RIO CLARO,-,-,1,1,9,3,17,5,1,1,1,1,40
510735 SAO JOSE DO XINGU,-,1,1,-,6,1,14,2,1,-,-,1,27
510740 SAO PEDRO DA CIPA,-,-,-,2,1,2,5,1,-,-,2,-,13
510757 RONDOLANDIA,-,1,1,4,4,4,43,22,2,1,-,1,83
510760 RONDONOPOLIS,-,109,462,497,241,139,602,297,33,20,29,4,2433
510770 ROSARIO OESTE,-,6,9,12,7,2,18,13,2,3,3,-,75
510774 SANTA CRUZ DO XINGU,-,-,-,4,2,-,10,6,1,-,-,-,23
510776 SANTA RITA DO TRIVELATO,-,-,-,1,1,1,11,5,1,1,1,-,22
510777 SANTA TEREZINHA,-,-,-,-,-,-,2,1,-,-,-,-,3
510779 SANTO ANTONIO DO LESTE,-,-,3,2,-,1,9,3,-,-,-,-,18
510780 SANTO ANTONIO DO LEVERGER,-,-,2,7,5,13,48,42,4,1,3,1,126
510785 SAO FELIX DO ARAGUAIA,-,3,1,-,2,3,15,12,1,-,-,-,37
510787 SAPEZAL,-,9,24,55,57,42,160,98,16,7,4,2,474
510788 SERRA NOVA DOURADA,-,1,2,1,2,2,4,5,2,-,-,-,19
510790 SINOP,-,7,31,39,53,31,163,90,19,10,9,12,464
510792 SORRISO,-,7,23,33,19,29,107,63,6,5,4,1,297
510794 TABAPORA,-,-,7,8,4,5,17,12,1,1,1,-,56
510795 TANGARA DA SERRA,1,29,88,115,92,79,382,182,22,23,26,16,1055
510800 TAPURAH,-,1,10,5,7,4,10,7,3,1,1,-,49
510805 TERRA NOVA DO NORTE,-,2,7,5,10,13,54,35,10,8,10,1,155
510810 TESOURO,-,2,3,7,9,4,18,21,3,8,1,1,77
510820 TORIXOREU,-,2,2,11,13,13,16,32,6,3,8,2,108
510830 UNIAO DO SUL,-,1,4,4,8,3,22,11,1,1,-,-,55
510835 VALE DE SAO DOMINGOS,-,4,3,3,2,2,6,3,-,-,1,-,24
